ImageId,object_count,min_area,median_area,max_area,has_tiny,has_small,is_dense,is_very_dense,has_rare,is_large_clear,is_small_dense
d1665307cf994231,3,0.00044149909,0.0006191545959999999,0.04853962161,1,1,0,0,0,0,1
dc7b56efcdb405cd,12,0.000406006395,0.0006341532699999999,0.000781011836,1,1,1,0,0,0,1
4a9a4a68422cdedd,14,0.000163786536,0.0019497549840000001,0.004421517488,1,1,1,0,1,0,1
85e6a9dd23a7e268,1,0.00017151360800000002,0.00017151360800000002,0.00017151360800000002,1,1,0,0,0,0,1
547f5d92dea0da96,8,6.470408e-05,0.000449649804,0.00110817096,1,1,0,0,0,0,1
e32b843e7cfdbeab,1,0.034017937119999994,0.034017937119999994,0.034017937119999994,0,0,0,0,0,1,0
5baa93b03fb51437,3,0.0011453231790000001,0.00244179684,0.014859574112,0,1,0,0,0,0,1
cdaa635d6e2c9c05,1,0.017924231558000003,0.017924231558000003,0.017924231558000003,0,0,0,0,0,1,0
585f93770716362a,1,0.066926716101,0.066926716101,0.066926716101,0,0,0,0,0,1,0
a8f6320de6a4f671,3,0.000134566305,0.015090822051,0.019830401933999996,1,1,0,0,1,1,1
7ef08761a2466f3b,12,7.760667600000001e-05,0.000258165564,0.002025838848,1,1,1,0,0,0,1
daa69136e749b966,1,0.0087477552,0.0087477552,0.0087477552,0,0,0,0,0,0,0
194217f0111f782a,1,0.0714600445,0.0714600445,0.0714600445,0,0,0,0,0,1,0
3bbdf509d54805cf,1,0.00025637561599999996,0.00025637561599999996,0.00025637561599999996,1,1,0,0,1,0,1
58451d2069421221,2,0.034320007013999995,0.0416998231485,0.049079639283,0,0,0,0,0,1,0
7f161e03d8aec3e6,16,0.000429146572,0.000549112734,0.0010547286200000001,1,1,1,0,0,0,1
27e64147b191b7ac,1,0.000641876479,0.000641876479,0.000641876479,0,1,0,0,1,0,1
6b85c8fc6f27f16b,9,0.000812714448,0.0018616513440000001,0.0048095759999999994,0,1,0,0,0,0,1
03cb86e169be564b,3,0.00438503196,0.005446582841999999,0.09992467043800002,0,0,0,0,0,0,0
33f8b5ac024016aa,1,0.00024187622399999997,0.00024187622399999997,0.00024187622399999997,1,1,0,0,0,0,1
8c0efc75a6923a73,1,0.0014985512999999998,0.0014985512999999998,0.0014985512999999998,0,1,0,0,1,0,1
212d73392821f25b,0,0.0,0.0,0.0,0,0,0,0,0,0,0
eb2d9d0fecdab4d0,3,0.000125869936,0.00196758528,0.007149896196,1,1,0,0,1,0,1
4da143de9deaecc5,1,0.006074293524000001,0.006074293524000001,0.006074293524000001,0,0,0,0,1,0,0
8cc239e7a1f615d7,9,0.000412503236,0.002426665712,0.030350970215999997,1,1,0,0,0,0,1
1035875f97fbdee2,1,0.033414214136,0.033414214136,0.033414214136,0,0,0,0,0,1,0
6f04ce967e30e401,1,0.06097173250199999,0.06097173250199999,0.06097173250199999,0,0,0,0,0,1,0
f43f238088a34c97,2,0.001047701216,0.00261691982,0.004186138424,0,1,0,0,0,0,1
7f7c331da29cc717,2,0.006136740056,0.050986548154,0.095836356252,0,0,0,0,0,1,0
368123804fc189df,2,0.009680223078,0.010375002579,0.01106978208,0,0,0,0,0,1,0
f80e9a59cd7b794f,1,0.012449817213,0.012449817213,0.012449817213,0,0,0,0,0,1,0
